orif_cost,tha_cost,inmb
37900.0,23500.0,54169924.942333035
39200.0,23500.0,55469924.942333035
40500.0,23500.0,56769924.942333035
41800.0,23500.0,58069924.942333035
43100.0,23500.0,59369924.942333035
44400.0,23500.0,60669924.942333035
45700.0,23500.0,61969924.942333095
47000.0,23500.0,63269924.942333065
48300.0,23500.0,64569924.94233311
49600.0,23500.0,65869924.942333095
50900.0,23500.0,67169924.94233304
52200.0,23500.0,68469924.94233307
53500.0,23500.0,69769924.94233304
54800.0,23500.0,71069924.94233307
56100.0,23500.0,72369924.94233304
57400.0,23500.0,73669924.94233304
58700.0,23500.0,74969924.94233304
60000.0,23500.0,76269924.94233304
8000.0,25050.0,22719924.942333084
9300.0,25050.0,24019924.942333084
10600.0,25050.0,25319924.942333084
11900.0,25050.0,26619924.94233308
13200.0,25050.0,27919924.942333132
14500.0,25050.0,29219924.942333102
15800.0,25050.0,30519924.94233305
17100.0,25050.0,31819924.942333028
18400.0,25050.0,33119924.94233302
19700.0,25050.0,34419924.942333035
21000.0,25050.0,35719924.942333035
22300.0,25050.0,37019924.942333035
23600.0,25050.0,38319924.942333035
24900.0,25050.0,39619924.94233303
26200.0,25050.0,40919924.94233303
27500.0,25050.0,42219924.94233303
28800.0,25050.0,43519924.94233303
30100.0,25050.0,44819924.94233303
31400.0,25050.0,46119924.942333035
32700.0,25050.0,47419924.942333035
34000.0,25050.0,48719924.942333035
35300.0,25050.0,50019924.942333035
36600.0,25050.0,51319924.942333035
37900.0,25050.0,52619924.942333035
39200.0,25050.0,53919924.942333035
40500.0,25050.0,55219924.942333035
41800.0,25050.0,56519924.942333035
43100.0,25050.0,57819924.942333035
44400.0,25050.0,59119924.942333035
45700.0,25050.0,60419924.942333095
47000.0,25050.0,61719924.942333065
48300.0,25050.0,63019924.94233311
49600.0,25050.0,64319924.942333095
50900.0,25050.0,65619924.94233305
52200.0,25050.0,66919924.94233308
53500.0,25050.0,68219924.94233304
54800.0,25050.0,69519924.94233307
56100.0,25050.0,70819924.94233304
57400.0,25050.0,72119924.94233304
58700.0,25050.0,73419924.94233304
60000.0,25050.0,74719924.94233304
8000.0,26600.0,21169924.9423331
9300.0,26600.0,22469924.9423331
10600.0,26600.0,23769924.9423331
11900.0,26600.0,25069924.942333095
13200.0,26600.0,26369924.942333147
14500.0,26600.0,27669924.942333117
15800.0,26600.0,28969924.942333065
17100.0,26600.0,30269924.942333043
18400.0,26600.0,31569924.942333035
19700.0,26600.0,32869924.94233305
21000.0,26600.0,34169924.94233305
22300.0,26600.0,35469924.94233305
23600.0,26600.0,36769924.94233305
24900.0,26600.0,38069924.94233304
26200.0,26600.0,39369924.94233304
27500.0,26600.0,40669924.94233304
28800.0,26600.0,41969924.94233304
30100.0,26600.0,43269924.94233304
